연령,남자인구수(명),여자인구수(명)
100,1036,5538
99,894,4421
98,1002,4260
97,1383,6520
96,2004,9810
95,3332,14443
94,4910,20284
93,7485,27285
92,9269,34265
91,12216,40560
90,17990,52819
89,23448,63212
88,30936,75669
87,40724,92519
86,50047,105262
85,59950,115886
84,69273,124916
83,83548,142876
82,92145,149862
81,103297,158593
80,131830,190631
79,139392,193120
78,123037,170083
77,134795,174044
76,121659,147456
75,180142,217159
74,189822,221187
73,192749,222228
72,206186,234299
71,187186,210987
70,239155,264132
69,243103,267002
68,253067,275602
67,323428,349021
66,317413,337248
65,340962,356398
64,368627,377488
63,387362,401224
62,427493,449110
61,456630,472865
60,400510,402889
59,442643,432648
58,378333,375621
57,416332,417484
56,416847,409309
55,409838,407225
54,418094,425016
53,467274,468532
52,447788,441204
51,468267,456879
50,452613,436056
49,447291,438331
48,439415,429442
47,405871,393844
46,385452,374263
45,380820,362300
44,383523,369423
43,389359,374254
42,427407,407578
41,430931,406684
40,431460,408323
39,403441,380761
38,369953,345114
37,344828,317518
36,347474,317535
35,337274,310237
34,334233,303751
33,345809,307933
32,357685,313210
31,360122,319557
30,391696,346223
29,398593,346103
28,392105,339680
27,388369,334888
26,385419,338849
25,367867,332379
24,354535,325291
23,335163,305629
22,336026,307135
21,320763,291903
20,273734,249461
19,250653,231728
18,246033,228852
17,227593,212270
16,222922,207685
15,232561,218518
14,246816,232600
13,230005,216641
12,226998,213369
11,244558,231430
10,240367,226976
9,234824,223785
8,221005,210391
7,225122,214532
6,218701,208901
5,197183,187156
4,177861,168534
3,163693,154956
2,148410,141079
1,138465,131669
0,132516,125929
